,18-Dec-2025
The Nifty witnessed an intraday movement of about 176.05 points.The closing index was 0.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 87865.32
, Traded Quantity (in Lakhs), 43797.69
, Number of Trades, 29913405
, Total Market Capitalisation (Rs. Crores), 46350554.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty500 EW,     13917.65,     13917.85,     13919.45,     13784.05,     13895.15,-22.50
,Nifty Multi MQ 50,     41034.00,     41099.75,     41266.90,     40838.50,     41187.45,153.45
,Nifty500 Value 50,     14962.60,     14959.15,     14984.60,     14837.05,     14932.70,-29.90
,Nifty Top 20 EW,      9621.60,      9612.10,      9641.50,      9577.95,      9615.75,-5.85
,Nifty CoreHousing,     15404.50,     15388.30,     15454.40,     15278.20,     15377.45,-27.05
,Nifty FinSerExBnk,     31113.15,     31208.70,     31467.70,     31053.60,     31372.25,259.10
,Nifty Housing,     11565.40,     11546.00,     11585.65,     11483.05,     11519.80,-45.60
,Nifty IPO,      2010.15,      2011.20,      2018.90,      1991.70,      2014.30,4.15
,Nifty MS Fin Serv,     20193.85,     20261.70,     20479.20,     20165.40,     20426.05,232.20
,Nifty MS Ind Cons,     18797.85,     18793.00,     18895.20,     18625.25,     18849.45,51.60
,Nifty MS IT Telcm,     10235.45,     10234.05,     10303.25,     10158.50,     10266.95,31.50
,Nifty NonCyc Cons,     15849.70,     15834.20,     15884.55,     15769.40,     15844.10,-5.60
,Nifty Rural,     15916.05,     15913.50,     15925.20,     15800.70,     15874.75,-41.30
,Nifty Shariah 25,      8404.10,      8404.20,      8418.80,      8353.75,      8407.95,3.85
,Nifty Trans Logis,     25409.25,     25390.20,     25399.30,     25070.65,     25372.10,-37.15
,Nifty50 Shariah,      4768.60,      4774.30,      4794.35,      4758.45,      4789.30,20.70
,Nifty500 LMS Eql,     17723.25,     17718.60,     17756.65,     17591.70,     17725.55,2.30
,Nifty500 Shariah,      7083.00,      7085.55,      7088.55,      7034.70,      7081.60,-1.40
,Nifty500 Qlty50,     18709.80,     18745.05,     18762.15,     18593.20,     18726.90,17.10
,Nifty500 LowVol50,     22864.70,     22893.10,     22903.00,     22721.20,     22880.25,15.55
,Nifty500 MQVLv50,     31341.00,     31355.20,     31365.65,     31055.55,     31286.60,-54.40
,Nifty500 Flexicap,     10599.40,     10611.95,     10648.35,     10558.00,     10635.95,36.55
,Nifty TMMQ 50,     41312.65,     41308.10,     41342.05,     40860.65,     41267.60,-45.05
,Nifty FPI 150,      1596.75,      1595.15,      1601.75,      1588.40,      1597.35,0.60
,Nifty SME Emerge,     14282.60,     14282.90,     14292.70,     14186.85,     14198.60,-84.00
,Nifty Internet,      1386.65,      1389.45,      1402.75,      1382.50,      1400.65,14.00
,Nifty Chemicals,     28258.05,     28204.95,     28204.95,     27969.55,     28157.65,-100.40
,Nifty Waves,      2011.85,      2007.75,      2023.35,      1998.65,      2016.05,4.20
,Nifty InfraLog,     11128.75,     11120.40,     11126.80,     11012.80,     11078.05,-50.70
,Nifty500 Health,     18581.45,     18576.45,     18590.95,     18418.55,     18580.05,-1.40
,India VIX,9.8375,9.8375,9.9475,9.6125,9.7075,-0.1300

,ADVANCES,1300
,DECLINES,1934
,UNCHANGED,91

,Total securities that have hit their price bands today,143

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR,VALUE(Rs Crs)
,MEESHO,EQ,       216.34,       235.57,8.89,6656.24
,SWIGGY,EQ,       398.95,       410.70,2.95,2805.24
,INDIGO,EQ,      4980.50,      5115.50,2.71,2158.25
,HDFCBANK,EQ,       984.00,       979.70,-0.44,1463.62
,BSE,EQ,      2630.50,      2682.90,1.99,1204.25
