SYMBOL,SYMBOL P/E,ADJUSTED P/E
SHREECEM,63.11,63.11
SAKHTISUG,10.60,17.10
IPCALAB,43.01,39.98
INGERRAND,41.01,41.01
AKZOINDIA,35.15,35.15
HINDALCO,11.27,11.01
HINDZINC,23.86,23.72
HINDUNILVR,49.35,50.09
GSFC,10.79,10.87
GRASIM,22.87,22.49
AMBUJACEM,25.10,25.16
FINPIPE,28.92,28.92
FINCABLES,20.52,22.24
EIDPARRY,8.80,10.17
DCW,49.71,49.71
DCM,63.47,63.47
CGPOWER,100.24,100.24
HEUBACHIND,17.21,15.39
CESC,15.22,15.22
BIRLACORPN,21.56,20.02
BHEL,418.23,418.23
BHARATGEAR,24.19,
BEL,51.56,51.56
BAJFINANCE,35.31,35.31
ASHAPURMIN,22.48,22.48
PVP,,3207.32
NAVA,11.63,11.63
CORALFINAC,10.26,10.26
GREENPLY,26.20,27.01
PARASPETRO,1371.16,1371.16
AUTOAXLES,17.56,17.56
REMSONSIND,21.59,20.76
DALMIASUG,6.57,6.57
NATCOPHARM,9.74,9.74
KHAITANLTD,7.31,7.31
SWARAJENG,25.53,25.53
MRF,35.78,35.78
GARFIBRES,28.31,28.31
ANDHRSUGAR,20.21,14.53
TNPETRO,11.95,13.11
TTKPRESTIG,91.74,42.57
STARPAPER,6.28,6.28
SKFINDIA,16.97,16.97
AUSOMENT,8.68,8.68
EIMCOELECO,18.08,18.08
PANACEABIO,191.63,
JAYAGROGN,11.22,11.22
CUBEXTUB,18.58,18.58
MARICO,56.46,56.46
SILINV,15.19,15.19
SAMBHAAV,1290.33,1290.33
REGENCERAM,40.83,40.83
BIOFILCHEM,19.65,19.65
KEYFINSERV,18.61,18.61
ZENITHEXPO,43.34,
SUNDRMBRAK,82.20,82.20
SANGAMIND,110.09,82.63
MOTHERSON,40.56,39.85
VISAKAIND,14.32,57.59
AARTIDRUGS,18.62,18.62
STERTOOLS,19.60,19.60
CREST,14.79,14.79
INDIANCARD,5.26,8.03
HITECHGEAR,38.90,38.90
WENDT,45.31,45.31
DENORA,183.69,183.69
TVSSRICHAK,118.44,177.78
SHRIRAMFIN,16.94,19.11
PUNJABCHEM,32.83,31.16
MIRZAINT,41.05,
ELECTHERM,2.87,4.30
DYNAMATECH,144.24,144.24
GANESHHOU,11.60,11.60
MMFL,16.22,16.23
JAGSNPHARM,22.06,31.46
ALKYLAMINE,43.28,43.28
JCHAC,106.00,97.74
MPHASIS,31.39,31.39
RUCHINFRA,19.32,19.32
ATLASCYCLE,7.06,7.06
RAMCOIND,26.46,26.46
KOTHARIPET,11.37,11.37
HERITGFOOD,25.14,23.89
INDRAMEDCO,25.51,25.51
BANKBARODA,7.73,7.73
MADRASFERT,17.59,17.59
GAIL,10.90,13.36
INDNIPPON,20.59,20.59
SKMEGGPROD,28.27,28.27
TCIFINANCE,4.72,4.98
BANKINDIA,6.90,6.63
CONCOR,30.04,29.42
ICICIBANK,17.14,17.14
HUDCO,14.96,14.96
INDSWFTLAB,3.30,39.42
SAREGAMA,33.54,34.19
FDC,25.10,25.10
ENGINERSIN,22.48,22.48
ADROITINFO,60.53,
JAICORPLTD,14.09,14.09
ANTGRAPHIC,13.04,13.04
GMDCLTD,23.99,23.99
MAHAPEXLTD,11.21,23.73
INDUSINDBK,64.40,64.40
ASAHIINDIA,73.55,78.91
J&KBANK,5.13,5.13
CUB,17.53,17.53
SOUTHBANK,7.72,7.72
ASTRAZEN,122.80,106.48
CEMPRO,33.82,33.82
AXISBANK,13.62,13.62
CYIENT,19.01,19.01
SONATSOFTW,22.36,22.36
CYBERTECH,12.64,12.64
DHANBANK,11.30,11.30
SANGHVIMOV,16.23,16.23
STCINDIA,99.11,20.50
RSSOFTWARE,152.37,152.37
VIPCLOTHNG,39.87,39.87
NATIONALUM,8.87,8.87
IVC,14.25,14.25
JINDALSTEL,33.91,2673.20
ALEMBICLTD,18.02,18.02
ICDSLTD,27.28,27.28
BSOFT,25.43,25.43
HCLTECH,26.44,26.44
ACCELYA,15.16,15.16
STAR,21.10,19.14
ZYDUSLIFE,19.92,19.54
