MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,      1007.00,      1007.00,      1009.00,      1007.00,      1009.00,                    60520.00,60, ,2,      1229.00,       925.41
N,NE,CAGL28,SEC RE NCD SR VIII,      1055.11,      1180.20,      1180.20,      1180.20,      1180.20,                    28324.80,24, ,2,      1197.20,      1055.11
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1093.33,      1119.79,      1119.79,      1119.79,      1119.79,                    76145.72,68, ,1,      1198.99,      1083.00
N,NF,905LTF27,SERENCD 9.05% SR.VI OPII,      1088.99,      1075.10,      1075.10,      1075.10,      1075.10,                    10751.00,10, ,3,      1124.05,      1015.30
N,NF,930AEL30,AEL 9.3% 2030 SR VII,      1066.95,      1066.70,      1066.70,      1062.00,      1062.00,                    35097.70,33, ,5,      1066.95,       990.10
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,       994.11,       993.00,       997.90,       993.00,       994.55,                   534857.33,537, ,36,       999.99,       890.00
N,NG,860CIFCL28,SEC RE NCD 8.60% SR 5,      1005.55,      1030.90,      1030.90,      1030.90,      1030.90,                     1030.90,1, ,1,      1092.00,       982.82
N,NG,IIFLZC28,UNSE RE NCD 0% SR.III,      1550.00,      1555.00,      1555.00,      1555.00,      1555.00,                    15550.00,10, ,1,      1555.00,      1112.10
N,NH,1050UCL28,UCL 10.50% SR V,      1011.00,      1015.00,      1015.00,       990.30,       990.30,                   142000.60,142, ,4,      1055.00,       951.10
N,NI,812REC27,8.12/8.32% TAX FREE NCD,      1066.87,      1068.50,      1069.85,      1068.50,      1068.65,                    60924.39,57, ,8,      1170.00,      1032.00
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1100.00,      1099.00,      1104.93,      1099.00,      1101.96,                     2203.93,2, ,2,      1210.00,      1074.00
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,      1063.00,      1060.52,      1061.00,      1060.50,      1061.00,                   443298.58,418, ,6,      1156.05,      1003.75
