CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKTATASTEEL27-JAN-2026,173.2500000,172.4000000,174.4500000,172.1600000,174.1600000,174.1600000,0.5200000,4403.0000000,4444000.0000000,808.0000000,771975325.0000000
FUTSTKTATASTEEL30-DEC-2025,172.2200000,171.5000000,173.4500000,171.0800000,173.1700000,173.1700000,0.5500000,42332.0000000,36399000.0000000,6618.0000000,6286464305.0000000
FUTSTKTATASTEEL24-FEB-2026,174.1500000,174.3500000,175.2800000,173.4800000,175.0200000,175.0200000,0.4900000,482.0000000,616000.0000000,112.0000000,107555745.0000000
FUTSTKUNITDSPR30-DEC-2025,1450.1000000,1448.1000000,1450.5000000,1436.1000000,1447.4000000,1447.4000000,-0.1800000,31209.0000000,602000.0000000,1505.0000000,869459720.0000000
FUTSTKUNITDSPR27-JAN-2026,1458.6000000,1451.6000000,1459.6000000,1445.0000000,1456.6000000,1456.6000000,-0.1300000,473.0000000,53200.0000000,133.0000000,77280040.0000000
FUTSTKUNITDSPR24-FEB-2026,1470.0000000,1458.0000000,1465.0000000,1456.8000000,1465.0000000,1465.0000000,-0.3400000,63.0000000,9600.0000000,24.0000000,14040440.0000000
FUTSTKVEDL27-JAN-2026,548.8000000,545.9000000,555.5000000,543.8000000,552.9000000,552.9000000,0.7400000,2972.0000000,1918200.0000000,1668.0000000,1054761600.0000000
FUTSTKVEDL30-DEC-2025,545.7000000,543.0000000,552.4000000,540.4000000,550.2500000,550.2500000,0.8300000,92787.0000000,15037400.0000000,13076.0000000,8224984345.0000000
FUTSTKVEDL24-FEB-2026,548.8500000,546.0000000,555.4500000,544.6000000,553.7500000,553.7500000,0.8900000,504.0000000,216200.0000000,188.0000000,119244995.0000000
FUTSTKBAJFINANCE30-DEC-2025,1021.1000000,1018.0000000,1020.6000000,1011.4000000,1016.7000000,1016.7000000,-0.4300000,107343.0000000,4285500.0000000,5714.0000000,4353845850.0000000
FUTSTKBAJFINANCE24-FEB-2026,1032.2000000,1026.9000000,1031.5000000,1024.0000000,1028.0000000,1028.0000000,-0.4000000,776.0000000,21750.0000000,29.0000000,22334475.0000000
FUTSTKBAJFINANCE27-JAN-2026,1027.1000000,1021.6000000,1026.5000000,1017.7000000,1022.9000000,1022.9000000,-0.4000000,8307.0000000,1760250.0000000,2347.0000000,1798773300.0000000
FUTSTKBANDHANBNK27-JAN-2026,150.6100000,150.0000000,153.0000000,149.1500000,152.8700000,152.8700000,1.5000000,1781.0000000,118800.0000000,33.0000000,18052416.0000000
FUTSTKBANDHANBNK24-FEB-2026,151.2300000,152.0000000,154.0500000,152.0000000,153.8000000,153.8000000,1.6900000,199.0000000,14400.0000000,4.0000000,2208240.0000000
FUTSTKBANDHANBNK30-DEC-2025,149.8800000,149.9400000,152.3900000,148.5900000,152.0700000,152.0700000,1.4600000,29712.0000000,2768400.0000000,769.0000000,418553208.0000000
FUTSTKBANKINDIA27-JAN-2026,142.6200000,142.5000000,143.3000000,141.2000000,143.0300000,143.0300000,0.2800000,450.0000000,535600.0000000,103.0000000,76236368.0000000
FUTSTKBANKINDIA30-DEC-2025,141.7700000,141.5900000,142.5000000,140.3900000,142.1800000,142.1800000,0.2800000,9507.0000000,4794400.0000000,922.0000000,678986204.0000000
FUTSTKBANKINDIA24-FEB-2026,143.4600000,142.7200000,143.8800000,142.1500000,143.8800000,143.8800000,0.2900000,58.0000000,41600.0000000,8.0000000,5964192.0000000
FUTSTKBLUESTARCO27-JAN-2026,1807.8000000,1808.6000000,1827.8000000,1800.7000000,1815.4000000,1815.4000000,0.4200000,418.0000000,18525.0000000,57.0000000,33620210.0000000
FUTSTKBLUESTARCO24-FEB-2026,1816.8000000,0.0000000,0.0000000,0.0000000,,1825.6000000,0.4800000,6.0000000,0.0000000,0.0000000,0.0000000
FUTSTKBLUESTARCO30-DEC-2025,1803.5000000,1791.5000000,1824.9000000,1791.4000000,1812.4000000,1812.4000000,0.4900000,6731.0000000,226200.0000000,696.0000000,409997347.5000000
FUTSTKCYIENT30-DEC-2025,1170.0000000,1161.7000000,1168.0000000,1155.1000000,1162.6000000,1162.6000000,-0.6300000,7716.0000000,380375.0000000,895.0000000,441322677.5000000
FUTSTKDLF24-FEB-2026,709.4500000,704.9500000,709.0000000,703.6500000,708.6500000,708.6500000,-0.1100000,553.0000000,29700.0000000,36.0000000,20974593.7500000
FUTSTKDLF27-JAN-2026,706.4500000,702.4500000,705.3500000,697.5500000,704.8000000,704.8000000,-0.2300000,2342.0000000,315975.0000000,383.0000000,221635095.0000000
FUTSTKDLF30-DEC-2025,702.2000000,700.0000000,701.6500000,693.1000000,700.7500000,700.7500000,-0.2000000,57676.0000000,2841300.0000000,3444.0000000,1982998586.2500000
FUTSTKEICHERMOT27-JAN-2026,7305.0000000,7248.0000000,7248.5000000,7162.0000000,7183.0000000,7183.0000000,-1.6700000,1554.0000000,39100.0000000,391.0000000,281303000.0000000
FUTSTKEICHERMOT30-DEC-2025,7258.5000000,7224.5000000,7224.5000000,7117.5000000,7137.0000000,7137.0000000,-1.6700000,16903.0000000,519050.0000000,2966.0000000,3709911275.0000000
FUTSTKEICHERMOT24-FEB-2026,7345.0000000,7273.0000000,7279.0000000,7210.0000000,7222.5000000,7222.5000000,-1.6600000,173.0000000,5900.0000000,59.0000000,42675350.0000000
FUTSTKETERNAL24-FEB-2026,301.9000000,300.1500000,303.0000000,298.7500000,302.3500000,302.3500000,0.1400000,645.0000000,189150.0000000,78.0000000,56967130.0000000
FUTSTKETERNAL27-JAN-2026,300.4000000,298.0000000,301.7000000,297.4000000,300.8500000,300.8500000,0.1400000,4459.0000000,1299800.0000000,536.0000000,390043668.7500000
FUTSTKETERNAL30-DEC-2025,298.6500000,297.0000000,300.0000000,295.5500000,298.9500000,298.9500000,0.1000000,122214.0000000,12289900.0000000,5068.0000000,3665370767.5000000
FUTSTKGODREJPROP24-FEB-2026,2105.4000000,2088.1000000,2108.0000000,2082.0000000,2108.0000000,2090.0000000,-0.7300000,284.0000000,3575.0000000,13.0000000,7489652.5000000
FUTSTKGODREJPROP27-JAN-2026,2097.9000000,2090.3000000,2096.7000000,2062.9000000,2088.4000000,2088.4000000,-0.4500000,1216.0000000,97075.0000000,353.0000000,201574780.0000000
FUTSTKGODREJPROP30-DEC-2025,2085.3000000,2068.3000000,2084.9000000,2051.2000000,2077.2000000,2077.2000000,-0.3800000,30746.0000000,642950.0000000,2338.0000000,1330525625.0000000
FUTSTKICICIGI30-DEC-2025,1946.6000000,1940.2000000,1960.4000000,1930.1000000,1957.2000000,1957.2000000,0.5400000,18052.0000000,252200.0000000,776.0000000,490313070.0000000
FUTSTKICICIGI24-FEB-2026,1959.6000000,0.0000000,0.0000000,0.0000000,,1972.8000000,0.6700000,15.0000000,0.0000000,0.0000000,0.0000000
FUTSTKICICIGI27-JAN-2026,1958.4000000,1949.8000000,1973.0000000,1942.9000000,1971.0000000,1971.0000000,0.6400000,207.0000000,25350.0000000,78.0000000,49565197.5000000
FUTSTKJSWSTEEL24-FEB-2026,1141.0000000,1133.6000000,1135.7000000,1129.5000000,1131.8000000,1131.8000000,-0.8000000,248.0000000,23625.0000000,35.0000000,26786295.0000000
FUTSTKJSWSTEEL27-JAN-2026,1135.1000000,1127.9000000,1129.8000000,1121.0000000,1125.9000000,1125.9000000,-0.8100000,2147.0000000,556200.0000000,824.0000000,626794065.0000000
FUTSTKJSWSTEEL30-DEC-2025,1128.3000000,1127.1000000,1127.1000000,1114.4000000,1119.0000000,1119.0000000,-0.8200000,69774.0000000,2200500.0000000,3260.0000000,2463120427.5000000
FUTSTKJUBLFOOD27-JAN-2026,586.9000000,579.1000000,586.0000000,575.2000000,583.1000000,583.1000000,-0.6400000,910.0000000,643750.0000000,515.0000000,374480687.5000000
FUTSTKJUBLFOOD24-FEB-2026,589.5000000,582.1500000,588.5000000,579.0000000,587.2000000,587.2000000,-0.3900000,85.0000000,61250.0000000,49.0000000,35859937.5000000
FUTSTKJUBLFOOD30-DEC-2025,583.8500000,580.0000000,581.9000000,571.5000000,579.7500000,579.7500000,-0.7000000,15119.0000000,5973750.0000000,4779.0000000,3450196875.0000000
FUTSTKKALYANKJIL30-DEC-2025,481.4000000,479.0000000,489.4000000,477.0000000,482.3000000,482.3000000,0.1800000,27540.0000000,2557975.0000000,2177.0000000,1236319020.0000000
FUTSTKKALYANKJIL24-FEB-2026,485.1500000,484.0000000,495.0000000,483.8000000,486.9000000,485.2500000,0.0200000,127.0000000,32900.0000000,28.0000000,16128402.5000000
FUTSTKKALYANKJIL27-JAN-2026,484.0500000,482.1000000,492.2000000,480.0000000,485.0000000,485.0000000,0.1900000,624.0000000,238525.0000000,203.0000000,115907698.7500000
FUTSTKLAURUSLABS24-FEB-2026,1030.1000000,1022.8000000,1025.7000000,1011.4000000,1021.4000000,1021.4000000,-0.8400000,250.0000000,63750.0000000,75.0000000,65118670.0000000
FUTSTKLAURUSLABS27-JAN-2026,1023.5000000,1021.1000000,1021.2000000,1003.9000000,1014.9000000,1014.9000000,-0.8400000,1266.0000000,391000.0000000,460.0000000,396241100.0000000
FUTSTKLAURUSLABS30-DEC-2025,1018.4000000,1016.0000000,1016.0000000,998.3000000,1009.1000000,1009.1000000,-0.9100000,17655.0000000,2098650.0000000,2469.0000000,2113962835.0000000
FUTSTKLICHSGFIN30-DEC-2025,534.9500000,535.8500000,535.8500000,527.7000000,533.7000000,533.7000000,-0.2300000,32625.0000000,2188000.0000000,2188.0000000,1163119250.0000000
FUTSTKLICHSGFIN27-JAN-2026,537.9500000,537.4500000,537.8000000,531.4000000,536.8000000,536.8000000,-0.2100000,2278.0000000,399000.0000000,399.0000000,213161850.0000000
