target_date,as_of,mode,ticker,ret_oc,exp_oh,dd_ol,buy_win,sell_win,opt_style,atr_points,atr_pct,buy_thr,sell_thr,buy_soft,sell_soft,direction_score,strength
2025-12-12,2025-12-12,aggressive,HDFCBANK.NS,-0.0014955134596211367,0.001694927424756979,-0.004785630900267946,0,0,both,14.292851039341517,0.014250100737130128,0.006412545331708558,0.006412545331708558,0.11747302181941209,0.331685306966719,-0.2142122851473069,0.331685306966719
2025-12-12,2025-12-12,aggressive,HDFCLIFE.NS,-0.0020536203774543915,0.0009626492407934523,-0.011615951837455172,0,1,both,15.250004359654017,0.01957387349189037,0.008808243071350667,0.008808243071350667,0.048573149441220625,0.5861152126787915,-0.5375420632375709,0.5861152126787915
2025-12-12,2025-12-12,aggressive,HEROMOTOCO.NS,-0.00724577329890897,0.005663363038227701,-0.008828183559590239,0,0,both,125.53571428571429,0.02091042130185963,0.009409689585836833,0.009409689585836833,0.2674955657411798,0.4169783818906626,-0.14948281614948283,0.4169783818906626
2025-12-12,2025-12-12,aggressive,HINDALCO.NS,0.02563792501917634,0.029128565915508622,-0.00024074652138908318,1,0,both,16.321428571428573,0.019645436701060462,0.008840446515477208,0.008840446515477208,1.0,0.012103286159062053,0.9878967138409379,1.0
2025-12-12,2025-12-12,aggressive,HINDUNILVR.NS,-0.0200701402954071,0.0009103549114187207,-0.026962570464666227,0,1,both,46.97853306361607,0.020364356951893366,0.009163960628352015,0.009163960628352015,0.0441514536412326,1.0,-0.9558485463587674,1.0
2025-12-12,2025-12-12,aggressive,ICICIBANK.NS,-0.0014619883040935672,0.0019736485174524855,-0.0034356368215460527,0,0,both,16.771405901227677,0.012259799635400349,0.005516909835930157,0.005516909835930157,0.15899790733481842,0.2767762649518572,-0.11777835761703878,0.2767762649518572
2025-12-12,2025-12-12,aggressive,INDUSINDBK.NS,0.007261516230861622,0.013273048718632248,-0.001249911086514438,1,0,both,19.399998256138392,0.023093861720190328,0.010392237774085648,0.010392237774085648,0.5676479784312465,0.05345490071792915,0.5141930777133173,0.5676479784312465
2025-12-12,2025-12-12,aggressive,INFY.NS,-0.0019982972357942717,0.0002497966828799477,-0.011739758050149752,0,1,both,25.450029645647323,0.01589236246887111,0.007151563110991999,0.007151563110991999,0.015523983529699093,0.729584590603893,-0.7140606070741939,0.729584590603893
2025-12-12,2025-12-12,aggressive,ITC.NS,-0.006949585096514398,0.0027302211967723325,-0.007570086471017352,0,1,both,4.075001307896206,0.010114175650603711,0.00455137904277167,0.00455137904277167,0.26660746811168196,0.7392227376340051,-0.4726152695223232,0.7392227376340051
2025-12-12,2025-12-12,aggressive,JSWSTEEL.NS,0.013963963963963964,0.01693698092623874,-0.0010810370917792792,1,0,both,28.692836216517858,0.025849401996862933,0.01163223089858832,0.01163223089858832,0.6471284093270421,0.04130428065505372,0.6058241286719883,0.6471284093270421
2025-12-12,2025-12-12,aggressive,KOTAKBANK.NS,-0.002337559531449626,0.008846335087351586,-0.003208507199278265,0,0,both,35.6357421875,0.016333933622888278,0.007350270130299725,0.007350270130299725,0.5349061209410336,0.19400691054888894,0.34089921039214466,0.5349061209410336
2025-12-12,2025-12-12,aggressive,LT.NS,0.0032258304989534596,0.01305097266683083,-0.0030534110671632604,1,0,both,67.0999755859375,0.016523017873907288,0.007435358043258279,0.007435358043258279,0.7801147251582017,0.18251596997892594,0.5975987551792757,0.7801147251582017
