SYMBOL,SYMBOL P/E,ADJUSTED P/E
PRAKASH,6.69,6.69
MFSL,174.25,174.25
KSB,55.12,55.12
KOPRAN,18.20,18.20
HEG,56.30,56.30
GREAVESCOT,291.21,
GODFRYPHLP,45.13,45.13
VARDMNPOLY,10.80,10.80
SURYAROSNI,19.84,19.84
TATAINVEST,170.64,170.64
TIMKEN,51.14,51.14
SUDARSCHEM,102.24,
SHREECEM,64.52,64.52
SAKHTISUG,10.93,17.64
IPCALAB,44.40,41.27
INGERRAND,42.51,42.51
AKZOINDIA,40.77,40.77
HINDALCO,11.25,11.00
HINDZINC,23.43,23.30
HINDUNILVR,49.74,50.48
GSFC,10.88,10.96
GRASIM,22.99,22.60
AMBUJACEM,25.66,25.72
FINPIPE,29.05,29.05
FINCABLES,20.31,22.01
EIDPARRY,9.01,10.41
DCW,52.03,52.03
DCM,63.70,63.70
CGPOWER,100.20,100.20
HEUBACHIND,16.43,14.69
CESC,15.69,15.69
BIRLACORPN,21.98,20.41
BHEL,425.38,425.38
BHARATGEAR,24.00,
BEL,52.25,52.25
BAJFINANCE,35.77,35.77
ASHAPURMIN,22.72,22.72
PVP,,3228.32
NAVA,11.62,11.62
CORALFINAC,10.68,10.68
GREENPLY,27.26,28.10
PARASPETRO,1378.30,1378.30
AUTOAXLES,17.36,17.36
REMSONSIND,21.31,20.49
DALMIASUG,6.64,6.64
NATCOPHARM,9.56,9.56
KHAITANLTD,7.38,7.38
SWARAJENG,26.20,26.20
MRF,36.11,36.11
GARFIBRES,28.33,28.33
ANDHRSUGAR,20.77,14.94
TNPETRO,11.97,13.13
TTKPRESTIG,93.87,43.56
STARPAPER,6.33,6.33
SKFINDIA,16.88,16.88
AUSOMENT,8.77,8.77
EIMCOELECO,18.88,18.88
PANACEABIO,196.72,
JAYAGROGN,11.30,11.30
CUBEXTUB,19.32,19.32
MARICO,56.42,56.42
SILINV,15.27,15.27
SAMBHAAV,1312.73,1312.73
REGENCERAM,39.99,39.99
BIOFILCHEM,20.36,20.36
KEYFINSERV,18.94,18.94
ZENITHEXPO,44.32,
SUNDRMBRAK,83.64,83.64
SANGAMIND,115.54,86.72
MOTHERSON,40.82,40.10
VISAKAIND,14.76,59.36
AARTIDRUGS,18.99,18.99
STERTOOLS,20.12,20.12
CREST,14.88,14.88
INDIANCARD,5.32,8.12
HITECHGEAR,39.72,39.72
WENDT,46.81,46.81
DENORA,188.56,188.56
TVSSRICHAK,121.64,182.58
SHRIRAMFIN,16.77,18.92
PUNJABCHEM,35.03,33.25
MIRZAINT,41.31,
ELECTHERM,3.02,4.52
DYNAMATECH,146.71,146.71
GANESHHOU,11.79,11.79
MMFL,15.57,15.58
JAGSNPHARM,21.92,31.26
ALKYLAMINE,44.22,44.22
JCHAC,106.44,98.15
MPHASIS,31.75,31.75
SKIL,1.98,1.98
RUCHINFRA,20.11,20.11
ATLASCYCLE,7.20,7.20
RAMCOIND,26.41,26.41
KOTHARIPET,11.54,11.54
HERITGFOOD,25.55,24.28
INDRAMEDCO,26.75,26.75
BANKBARODA,7.67,7.67
MADRASFERT,17.48,17.48
GAIL,10.95,13.43
INDNIPPON,20.77,20.77
SKMEGGPROD,29.20,29.20
TCIFINANCE,3.86,4.08
BANKINDIA,6.89,6.62
CONCOR,30.42,29.80
ICICIBANK,17.31,17.31
HUDCO,15.46,15.46
INDSWFTLAB,3.44,41.11
SAREGAMA,35.62,36.31
FDC,25.46,25.46
ENGINERSIN,22.43,22.43
ADROITINFO,60.34,
JAICORPLTD,14.60,14.60
ANTGRAPHIC,13.04,13.04
GMDCLTD,25.56,25.56
MAHAPEXLTD,11.66,24.69
INDUSINDBK,65.74,65.74
ASAHIINDIA,74.74,80.18
J&KBANK,5.14,5.14
CUB,17.47,17.47
SOUTHBANK,7.84,7.84
ASTRAZEN,124.37,107.84
CEMPRO,35.02,35.02
AXISBANK,14.28,14.28
CYIENT,19.33,19.33
SONATSOFTW,22.87,22.87
CYBERTECH,12.76,12.76
DHANBANK,11.41,11.41
SANGHVIMOV,16.20,16.20
STCINDIA,102.11,21.12
RSSOFTWARE,162.92,162.92
VIPCLOTHNG,41.04,41.04
NATIONALUM,8.84,8.84
IVC,14.40,14.40
JINDALSTEL,35.01,2759.95
ALEMBICLTD,18.13,18.13
ICDSLTD,27.78,27.78
BSOFT,25.60,25.60
HCLTECH,26.91,26.91
ACCELYA,15.07,15.07
STAR,20.88,18.94
ZYDUSLIFE,20.00,19.62
GLENMARK,74.33,45.04
RAJESHEXPO,160.39,160.39
SHREERAMA,14.49,14.49
BLUECOAST,0.76,
NRBBEARING,31.78,142.04
IOB,18.45,18.45
GVPIL,113.70,113.70
BIL,52.36,52.36
KTKBANK,6.49,6.49
BLBLIMITED,12.08,12.08
AJANTPHARM,35.50,35.50
BLUESTARCO,68.00,69.21
CALSOFT,31.77,31.77
TVSMOTOR,333.26,333.26
PNBGILTS,4.22,4.25
TAJGVK,20.23,20.23
NLCINDIA,11.28,11.28
KRBL,16.78,16.78
HAVELLS,62.82,62.82
GAEL,22.88,22.88
USHAMART,36.52,36.52
AXISCADES,69.26,66.44
BALAJITELE,15.90,15.90
UMIYA-MRO,4.51,4.51
TIPSMUSIC,41.21,41.21
HIKAL,48.77,48.77
TRIDENT,31.97,31.97
MARKSANS,31.98,31.98
NEXTMEDIA,0.69,
GOLDTECH,16.65,
SMARTLINK,14.30,14.30
GODREJCP,64.36,62.57
JISLJALEQS,113.65,113.65
LUPIN,25.68,25.68
UNITDSPR,68.75,66.34
TCI,23.32,23.32
MPSLTD,21.70,22.29
BHARTIARTL,31.63,37.88
ASAL,51.51,51.51
OLECTRA,72.48,72.22
PONNIERODE,15.10,21.91
PNB,8.77,8.77
APTECHT,27.58,27.19
SURANAT&P,11.22,11.28
TEAMGTY,108.63,108.63
OFSS,28.83,28.83
UNIONBANK,6.35,6.35
NUCLEUS,14.52,14.52
CANBK,8.22,8.22
GENESYS,30.42,30.42
OMAXAUTO,8.26,22.60
GODREJIND,22.33,22.33
DIVISLAB,73.07,73.07
RADICO,108.25,106.83
INDORAMA,16.82,16.82
MARUTI,36.06,36.06
VARDHACRLC,33.12,33.12
UCOBANK,14.60,14.60
BAGFILMS,11.93,11.93
JSL,25.59,25.53
NSIL,82.89,82.89
WELSPUNLIV,23.81,23.81
JAIBALAJI,14.54,14.54
IGL,19.89,19.89
TVTODAY,26.39,26.39
UPL,40.53,32.71
MUKANDLTD,23.78,23.78
PETRONET,11.17,11.17
PTC,4.95,6.62
VAIBHAVGBL,24.73,24.73
BIOCON,79.52,85.32
MAHABANK,7.59,7.59
XPROINDIA,124.61,124.61
RKFORGE,22.47,22.14
DATAMATICS,23.13,26.81
CCL,42.42,42.42
EXCELINDUS,13.32,13.32
LT,30.31,30.93
APARINDS,41.41,41.41
AMBICAAGAR,86.12,86.12
CENTEXT,17.25,17.25
NIITLTD,27.02,25.93
ULTRACEMCO,49.29,49.02
TCS,23.61,23.61
COFORGE,57.90,57.00
GULFPETRO,6.78,6.78
GUFICBIO,56.57,56.57
ASTRAMICRO,56.02,56.02
WELENT,18.37,18.39
NTPC,13.90,13.90
KOTARISUG,19.35,33.43
JBMA,51.32,51.32
DWARKESH,31.06,31.06
SUPRAJIT,56.75,56.75
PATELENG,10.86,7.00
XCHANGING,17.45,17.45
JSWSTEEL,52.11,49.28
CONSOFINVT,5.56,5.56
JPPOWER,16.70,16.70
EVEREADY,28.88,26.99
GOKEX,35.06,35.06
SAKSOFT,22.00,22.00
ALLDIGI,19.80,19.72
IIFL,47.56,14.93
SHOPERSTOP,271.56,245.02
WELCORP,15.14,21.14
SSWL,14.88,14.88
CYBERMEDIA,,39.98
SURYALAXMI,23.25,25.23
JKPAPER,17.39,17.39
PRIMESECU,25.88,25.88
GRANULES,28.93,29.05
JSWHL,134.74,134.74
VHL,695.97,695.97
GEOJITFSL,14.07,14.07
GENUSPOWER,24.10,24.10
YESBANK,24.92,24.92
SPLIL,13.56,13.56
GOLDIAM,32.69,32.69
RML,84.81,48.42
HTMEDIA,13.22,11.10
SASKEN,43.32,43.32
FCSSOFT,118.71,118.75
IMPAL,15.51,15.11
SUZLON,34.80,34.80
AURIONPRO,32.07,32.07
BASML,18.86,18.86
TRIVENI,37.22,37.22
AIAENG,33.34,33.34
NAHARINDUS,22.77,21.24
ORIENTCER,45.26,45.26
EKC,10.85,11.39
VIMTALABS,37.93,37.93
KERNEX,31.49,31.49
NITINSPIN,10.07,10.07
ROHLTD,23.11,23.11
ENIL,44.84,44.84
GSPL,10.00,10.00
JAGRAN,12.79,12.79
SAKUMA,31.87,31.87
KEC,30.87,30.87
JKCEMENT,43.28,47.79
INDOTECH,22.46,22.46
M&MFIN,21.74,21.74
BLKASHYAP,66.23,155.63
CENTURYPLY,91.04,91.04
KEI,53.71,53.71
VAKRANGEE,113.47,113.47
SOLARINDS,82.57,82.58
GALLANTT,31.43,31.43
UTTAMSUGAR,10.20,10.20
KKCL,19.01,19.01
SUNTV,13.49,13.16
GPIL,22.70,22.72
RSYSTEMS,24.78,24.78
EMKAY,14.27,14.27
BALPHARMA,16.50,16.50
SWELECTES,34.68,34.68
KAMDHENU,10.79,10.79
RATNAMANI,29.88,29.88
PIONEEREMB,16.52,84.24
JKLAKSHMI,25.32,25.32
PFOCUS,,84.46
ALLCARGO,,30.50
MUNJALAU,16.54,19.50
EMAMILTD,28.76,28.76
TECHM,34.17,34.20
GRINDWELL,46.88,46.88
VOLTAMP,35.80,35.80
ATLANTAA,22.13,22.13
ANTELOPUS,22.51,22.51
ACE,28.05,28.05
ANANTRAJ,43.39,43.39
HGM,17.56,17.56
TALBROAUTO,22.81,22.81
ALICON,38.23,36.61
GEECEE,18.30,18.30
JMFINANCIL,13.37,13.37
FIEMIND,28.73,29.11
DCBBANK,8.51,8.51
INSPIRISYS,11.62,11.62
NAUKRI,58.57,64.09
VGL,21.38,21.38
GESHIP,7.91,7.91
TORNTPOWER,23.23,23.23
MANALIPETC,34.52,31.78
LTFOODS,22.18,22.18
DONEAR,16.05,16.05
RUCHIRA,6.77,6.77
SOBHA,149.94,149.94
VENUSREM,19.51,22.42
JINDRILL,8.39,8.39
HIRECT,58.50,58.50
NFL,49.94,49.94
PLASTIBLEN,13.27,13.27
PARACABLES,14.10,14.10
HBLENGINE,69.00,68.36
TANLA,15.40,15.40
AVTNPL,18.70,18.70
VEEDOL,18.78,18.18
LUMAXTECH,44.47,44.47
SARLAPOLY,10.46,10.46
PTL,12.88,12.88
WANBURY,19.47,19.47
AUTOIND,25.00,31.14
GANDHITUBE,14.21,14.21
PITTIENG,24.48,24.48
UNOMINDA,77.07,77.58
IZMO,25.57,24.53
HUBTOWN,27.20,27.20
TIIL,18.95,18.95
ORIENTBELL,101.96,101.96
PGIL,32.13,31.94
REDINGTON,11.97,16.63
FSL,38.05,38.47
PFC,3.48,3.48
SMSPHARMA,43.50,43.50
INDIANB,9.78,9.34
ORIENTALTL,7.23,14.91
PAGEIND,53.59,53.59
LAOPALA,23.19,23.19
JKTYRE,28.05,27.18
ASTRAL,80.30,80.30
EMBDL,2304.84,313.84
NAHARSPING,32.96,32.96
NAHARPOLY,13.68,13.68
NCLIND,27.74,23.37
BALAMINES,24.40,24.40
BANSWRAS,21.79,21.79
ICRA,32.75,32.75
PHOENIXLTD,48.92,49.37
NDLVENTURE,454.46,454.46
ZENITHSTL,31.56,31.56
BFUTILITIE,12.78,12.78
FORTIS,73.92,69.08
SRHHYPOLTD,9.53,8.94
WEBELSOLAR,18.51,18.51
TGBHOTELS,14.35,14.35
HILTON,16.44,16.44
INSECTICID,13.58,13.60
KMSUGAR,5.90,5.90
NAVINFLUOR,88.76,88.76
TIMETECHNO,22.82,22.82
NAGREEKEXP,31.00,31.00
NELCAST,22.57,23.33
V2RETAIL,101.52,101.52
DLF,63.11,83.19
TARMAT,64.03,64.03
MEGASOFT,9.31,9.31
ADSL,24.45,24.45
ALPA,6.48,6.48
CENTRALBK,7.89,8.00
ASIANTILES,51.84,51.84
TAKE,197.53,197.53
KPRMILL,40.21,40.21
CIEINDIA,19.28,19.28
MOTILALOFS,18.23,18.23
INDOWIND,120.10,120.10
NAGREEKCAP,2.01,2.01
MAGNUM,34.84,30.14
KSCL,15.77,15.77
CENTUM,527.43,157.13
POWERGRID,15.62,15.62
CCCL,5.53,
MAANALU,59.74,59.74
DELTACORP,7.05,20.05
BAJAJELEC,51.48,58.15
CERA,26.90,26.78
RELIGARE,47.07,47.07
BVCL,28.61,28.61
ADANIPORTS,30.01,29.78
EDELWEISS,18.63,18.63
RGL,21.74,19.06
KOLTEPATIL,40.53,40.53
KAUSHALYA,142.66,142.66
COLPAL,42.25,42.25
JYOTHYLAB,28.47,28.18
KALYANIFRG,25.60,25.60
HITECHCORP,29.49,26.50
ECLERX,38.82,38.82
TARIL,34.95,35.27
BRIGADE,28.52,28.52
MANAKSIA,7.21,7.02
DVL,278.26,278.26
PATINTLOG,12.38,12.38
PPAP,93.29,93.29
ARIES,11.70,11.70
AMBIKCO,12.15,12.15
CEATLTD,37.31,34.55
BIRLAMONEY,11.54,11.54
RPOWER,4.60,
JKIL,10.35,10.35
CORDSCABLE,15.41,15.41
KNRCON,4.34,4.23
HERCULES,93.73,93.73
ONMOBILE,,727.59
SEPC,57.79,40.78
BANG,16.99,16.99
IRB,3.83,29.71
NMDC,10.53,10.53
NAHARCAP,26.47,26.47
RECLTD,5.34,5.34
VGUARD,49.84,49.84
NESCO,21.99,21.99
DPSCLTD,140.56,140.56
TITAGARH,39.35,39.35
BAJAJFINSV,17.73,17.73
BAJAJ-AUTO,29.34,29.34
DIGISPICE,,40.80
GOKUL,24.66,24.66
RPGLIFE,21.45,41.31
ALMONDZ,30.72,30.72
LOTUSEYE,413.94,419.77
VINYLINDIA,20.49,20.49
UBL,95.18,92.37
ZFCVINDIA,57.38,57.38
20MICRONS,11.01,10.85
JOCIL,109.44,109.44
COUNCODOS,83.87,83.87
TPHQ,21.14,21.14
MAWANASUG,3.27,7.39
AJMERA,29.64,29.64
MHRIL,48.97,48.97
VINATIORGA,38.93,38.93
EXCEL,1038.17,1038.17
ADANIPOWER,22.93,22.93
NHPC,22.49,22.49
GLOBUSSPR,108.02,108.02
OIL,10.06,10.06
EXPLEOSOL,16.55,16.55
RTNPOWER,44.52,44.52
AMRUTANJAN,36.01,36.01
SUNTECK,37.09,37.09
ZYDUSWELL,41.53,42.30
DEN,7.37,7.37
SHILPAMED,57.77,55.22
SARDAEN,20.16,20.15
REFEX,27.39,27.43
GILLANDERS,7.33,11.01
AHLUCONT,29.22,29.23
DLINKINDIA,14.63,14.63
JSWENERGY,37.58,37.58
GODREJPROP,41.79,40.31
DBCORP,13.68,13.68
HINDCOPPER,75.24,75.24
BEARDSELL,11.55,11.55
MMTC,112.35,178.33
NESTLEIND,76.26,79.70
TRF,14.50,14.50
WHIRLPOOL,32.80,33.31
UNITEDTEA,12.10,12.10
JUBLFOOD,142.61,141.52
VASCONEQ,7.53,13.39
THANGAMAYL,92.17,92.17
EMMBI,30.93,30.93
HATHWAY,25.55,25.34
TEXMOPIPES,8.62,8.62
MANINFRA,16.44,16.44
LGBBROSLTD,20.46,21.79
PERSISTENT,65.41,65.41
ASIANHOTNR,3.19,
ISFT,11.93,11.93
KIRLOSBROS,33.47,32.98
TARAPUR,35.90,
KSL,11.99,11.99
SJVN,41.07,41.07
KIRLOSIND,10.41,10.77
MANAPPURAM,31.07,31.07
UMESLTD,41.30,41.30
TI,33.58,33.58
HMVL,5.61,5.61
IMFA,21.82,21.82
BLISSGVS,13.41,13.41
AHLEAST,20.27,20.27
IITL,49.48,49.48
BAJAJCON,26.65,26.79
PRAKASHSTL,43.77,43.77
GPPL,24.71,24.71
ADFFOODS,33.74,33.74
WELINV,139.08,139.08
WAAREEINDO,10.22,10.22
KILITCH,21.93,21.93
DEEPAKNTR,35.39,35.39
SASTASUNDR,,20.56
CPCAP,4.71,4.71
GREENPOWER,24.47,25.89
RAMKY,17.82,17.82
CANTABIL,27.89,27.89
WABAG,25.97,25.91
ASHOKA,2.64,2.64
BEDMUTHA,28.97,28.97
JWL,34.24,34.24
OBEROIRLTY,29.37,29.37
PRESTIGE,106.73,106.73
SHAH,33.48,33.48
CGCL,30.36,30.36
RESPONIND,25.95,25.95
COALINDIA,7.27,7.27
IOLCP,23.05,23.05
GRAVITA,40.72,40.72
JINDWORLD,40.30,40.30
PENIND,21.77,21.77
RPPINFRA,8.41,8.41
JAMNAAUTO,28.06,28.06
SUMEETINDS,8.55,60.31
MOIL,24.30,24.30
ZEELEARN,21.15,11.24
A2ZINFRA,115.33,62.85
KIRLOSENG,36.41,38.34
RKDL,478.61,478.61
PSB,17.86,17.86
FMNL,,31.90
SHEKHAWATI,10.00,10.00
BFINVEST,61.69,61.69
KICL,33.85,43.32
SUMMITSEC,25.12,25.12
STEL,61.56,61.56
TEXRAIL,26.36,26.36
HFCL,290.74,292.48
DHUNINV,167.86,182.11
LOVABLE,44.98,41.01
PFS,7.01,7.01
MUTHOOTFIN,25.25,25.25
VADILALIND,25.95,25.95
SYMPHONY,36.43,27.66
PIIND,30.65,30.65
RELAXO,57.55,57.55
OMINFRAL,43.59,43.59
VSTTILLERS,44.26,44.00
ESTER,45.32,44.40
DELPHIFX,238.93,30.40
KARMAENG,48.38,98.01
ASHIANA,80.05,70.60
DHANUKA,17.76,17.76
MAITHANALL,3.87,3.87
RUSHIL,32.08,35.09
BGLOBAL,4.35,4.35
INVENTURE,88.83,96.61
LTF,28.72,28.72
BODALCHEM,22.85,21.91
ASAHISONG,20.32,20.32
FILATEX,16.63,16.63
BROOKS,48.09,48.09
TDPOWERSYS,57.53,57.53
APLLTD,28.28,28.76
VASWANI,17.85,14.42
PGEL,59.01,59.01
PANAMAPET,9.37,9.37
PAISALO,16.30,16.35
SHAKTIPUMP,22.50,22.50
TRITURBINE,49.69,49.69
INDOTHAI,414.83,414.83
ESSARSHPNG,0.81,4.21
DSSL,16.95,16.95
JISLDVREQS,2.00,2.00
POLYMED,54.03,54.03
RUPA,16.53,16.27
VIKASECO,17.81,17.81
APLAPOLLO,60.27,60.27
KANANIIND,43.41,43.41
MINDACORP,61.83,61.83
THOMASCOTT,37.24,37.24
DBSTOCKBRO,18.21,18.21
IRFC,22.19,22.19
COMPUSOFT,36.43,36.43
RHIM,55.80,55.80
SCHNEIDER,65.57,69.13
NDL,11.59,11.59
NBCC,53.23,47.43
TBZ,14.84,14.84
VSSL,32.46,32.46
SWANCORP,22.88,22.76
SPECIALITY,29.43,29.43
CINELINE,,23.02
SAMPANN,21.32,
THEJO,32.82,32.82
KITEX,30.62,30.62
MAYURUNIQ,13.85,13.85
ROSSELLIND,9.66,9.60
DUCON,8.57,8.57
TVSHLTD,10.99,10.99
ZUARI,11.62,11.62
VETO,10.31,10.31
CARERATING,31.60,31.60
PCJEWELLER,13.60,13.60
INDUSTOWER,11.09,11.09
VMART,88.97,161.45
REPCOHOME,5.72,5.72
NIBL,3.40,
JUSTDIAL,10.13,10.13
ATULAUTO,62.02,62.02
ORIENTCEM,12.90,12.90
ESSENTIA,82.18,82.18
PILITA,46.95,46.95
MITCON,21.84,21.84
ORBTEXP,12.14,12.14
JPOLYINVST,20.98,20.98
SREEL,24.44,24.44
NATHBIOGEN,6.82,7.23
CASTROLIND,18.99,18.99
SDBL,21.30,21.30
IREDA,24.37,24.37
BUTTERFLY,32.97,32.97
WONDERLA,34.72,34.72
AGARIND,11.42,11.42
HATSUN,79.27,79.27
CAPLIPOINT,26.22,26.22
GOCLCORP,9.18,9.73
GULFOILLUB,15.87,15.87
SNOWMAN,107.01,107.01
SHARDACROP,19.96,19.96
SUPERHOUSE,108.44,108.44
CIGNITITEC,19.67,19.67
