MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty Pvt Bank,     28818.25,     28724.55,     28739.45,     28436.35,     28465.05,0.00,0,Y, ,0,     28960.60,     23508.05
Y, , ,NIFTY100 Qualty30,      5825.45,      5819.25,      5830.30,      5795.30,      5803.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 8 13Yr,      2962.63,      2963.16,      2967.12,      2962.28,      2966.02,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 10Yr,      2608.01,      2608.48,      2611.99,      2607.12,      2610.63,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 10Yr Cln,       892.53,       892.53,       893.75,       892.06,       893.28,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 4 8Yr,      3213.53,      3214.11,      3218.63,      3213.49,      3214.88,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 11 15Yr,      3226.21,      3226.82,      3230.01,      3225.01,      3230.01,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 15YrPlus,      3459.95,      3460.64,      3466.19,      3459.45,      3464.62,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS Compsite,      3041.62,      3042.18,      3046.54,      3041.46,      3045.01,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY HEALTHCARE,     14711.20,     14709.70,     14714.75,     14603.75,     14625.30,0.00,0,Y, ,0,     15112.50,      6482.80
Y, , ,NIFTY CONSR DURBL,     37021.75,     36902.05,     37308.35,     36761.80,     37223.65,0.00,0,Y, ,0,     44426.55,     14089.55
Y, , ,NIFTY OIL AND GAS,     11948.65,     11911.85,     11932.50,     11817.85,     11856.80,0.00,0,Y, ,0,     13607.20,      4632.70
Y, , ,NIFTY500 MULTICAP,     16362.15,     16334.00,     16339.15,     16228.90,     16249.70,0.00,0,Y, ,0,     17112.15,      5531.55
Y, , ,NIFTY LARGEMID250,     16759.65,     16730.90,     16736.30,     16617.95,     16644.25,0.00,0,Y, ,0,     17095.20,      5635.20
Y, , ,NIFTY MID SELECT,     13862.60,     13852.35,     13852.35,     13704.30,     13748.00,0.00,0,Y, ,0,     14118.40,      5520.25
Y, , ,NIFTY TOTAL MKT,     13313.15,     13286.55,     13292.30,     13211.05,     13226.30,0.00,0,Y, ,0,     13842.60,      6252.10
Y, , ,NIFTY MICROCAP250,     22475.75,     22455.65,     22459.50,     22308.80,     22335.35,0.00,0,Y, ,0,     26476.90,      5802.95
Y, , ,NIFTY IND DIGITAL,      9589.70,      9567.10,      9576.10,      9441.85,      9457.15,0.00,0,Y, ,0,     10152.15,      4755.25
Y, , ,Nifty Tata 25 Cap,     14948.30,     14916.30,     14954.35,     14854.50,     14910.60,0.00,0,Y, ,0,     18764.95,      9887.45
Y, , ,Nifty MidSml Hlth,     43329.25,     43329.75,     43346.10,     43027.95,     43092.35,0.00,0,Y, ,0,     46103.35,     20019.15
Y, , ,Nifty Multi Mfg,     15765.50,     15730.80,     15739.60,     15656.60,     15680.10,0.00,0,Y, ,0,     16253.65,      8394.35
Y, , ,Nifty Multi Infra,     14332.00,     14313.45,     14326.50,     14232.95,     14258.30,0.00,0,Y, ,0,     15154.10,      8010.10
Y, , ,BHARATBOND-APR30,      1563.48,      1563.79,      1563.83,      1563.18,      1563.18,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,BHARATBOND-APR31,      1424.47,      1424.73,      1425.57,      1424.73,      1424.99,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,BHARATBOND-APR32,      1295.02,      1295.26,      1295.26,      1295.26,      1295.26,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,BHARATBOND-APR33,      1255.42,      1255.66,      1255.66,      1255.66,      1255.66,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Ind Defence,      7559.60,      7554.60,      7555.15,      7436.20,      7462.60,0.00,0,Y, ,0,      9195.15,      3374.95
Y, , ,Nifty Ind Tourism,      8513.90,      8515.30,      8524.50,      8430.55,      8448.50,0.00,0,Y, ,0,      9497.20,      6058.05
Y, , ,Nifty Capital Mkt,      4598.15,      4593.85,      4593.85,      4534.60,      4556.05,0.00,0,Y, ,0,      4852.85,      2009.60
Y, , ,Nifty500Momentm50,     53212.00,     53206.45,     53211.25,     52677.65,     52794.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyMS400 MQ 100,     47940.70,     47872.50,     47876.55,     47410.20,     47533.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftySml250MQ 100,     43991.15,     43919.50,     43922.35,     43540.30,     43606.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Top 10 EW,     10043.70,     10009.95,     10024.40,      9963.75,      9971.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty AQL 30,     22860.05,     22852.55,     22887.55,     22705.65,     22741.65,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty AQLV 30,     21389.75,     21370.15,     21398.45,     21284.95,     21308.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty EV,      3106.75,      3100.80,      3104.95,      3084.50,      3091.60,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty HighBeta 50,      3859.00,      3852.55,      3853.30,      3807.05,      3820.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty New Consump,     11830.50,     11821.00,     11828.10,     11739.50,     11756.95,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Corp MAATR,     38540.55,     38403.85,     38464.80,     38260.25,     38303.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Low Vol 50,     25632.05,     25611.40,     25670.85,     25489.35,     25521.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Mobility,     22930.65,     22902.40,     22919.60,     22730.05,     22765.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Qlty LV 30,     17671.25,     17652.60,     17701.95,     17591.95,     17613.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Sml250 Q50,     25594.90,     25553.65,     25557.25,     25384.45,     25419.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Top 15 EW,     11018.20,     10982.50,     10997.20,     10936.55,     10946.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Alpha 30,     18057.00,     18032.15,     18051.30,     17893.00,     17916.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Enh ESG,      5209.55,      5199.35,      5203.80,      5164.85,      5171.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Value 30,     14121.55,     14109.50,     14118.80,     13949.90,     14026.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty500 EW,     14095.60,     14083.15,     14083.80,     13978.30,     13998.35,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty Multi MQ 50,     41541.30,     41490.55,     41503.30,     41130.10,     41236.00,0.00,0,Y, ,0,         0.00,         0.00
