Confirmed list of securities to be auctioned in A 2025238 to be held on Dec 16 2025.

Sr No,Symbol,Series,Total Qty
107,MRPL,EQ,100
108,MSUMI,EQ,157
109,MTARTECH,EQ,60
110,MURUDCERA,EQ,100
111,NBCC,EQ,1000
112,NELCO,EQ,9
113,NESTLEIND,EQ,51
114,NIFTY1,EQ,139
115,NIFTYBEES,EQ,2
116,NILAINFRA,EQ,6
117,OSIAHYPER,EQ,11111
118,OWAIS,SM,100
119,PAVNAIND,EQ,198
120,PAYTM,EQ,36
121,PFOCUS,EQ,80
122,PFS,EQ,845
123,PGEL,EQ,23
124,PHOENIXLTD,EQ,1
125,POWERGRID,EQ,20
126,PREMIERENE,EQ,200
127,PRIMO,EQ,36
128,PVRINOX,EQ,33
129,PWL,EQ,4
130,PYRAMID,EQ,54
131,RADIANTCMS,EQ,5
132,RAMASTEEL,EQ,17
133,RANEHOLDIN,EQ,2
134,RATNAVEER,EQ,1
135,RELIANCE,EQ,1
136,RPGLIFE,EQ,4
137,RPOWER,EQ,100
138,RTNINDIA,EQ,670
139,RUPA,EQ,1
140,S&SPOWER,EQ,154
141,SAGILITY,EQ,1000
142,SATECH,SM,3000
143,SAWALIYA,SM,600
144,SBILIFE,EQ,1
145,SBIN,EQ,10
146,SHAKTIPUMP,EQ,52
147,SHREERAMA,EQ,50
148,SHRIRAMFIN,EQ,111
149,SILVERBEES,EQ,3759
150,SPMLINFRA,EQ,51
151,SUNDARMFIN,EQ,1
152,SUNFLAG,EQ,10
153,SUZLON,EQ,92
154,SWARAJENG,EQ,204
155,SWIGGY,EQ,1
156,TAINWALCHM,EQ,1566
157,TARIL,EQ,15
158,TARMAT,EQ,280
159,TATAGOLD,EQ,123
160,TATASTEEL,EQ,521
161,TCS,EQ,50
162,THOMASCOOK,EQ,29
163,TORNTPHARM,EQ,145
164,TREL,EQ,200
165,TVVISION,EQ,8200
166,UFO,EQ,3
167,UGARSUGAR,EQ,71
168,UJJIVANSFB,EQ,4000
169,UPL,EQ,100
170,VASWANI,EQ,100
171,VEDL,EQ,695
172,VETO,EQ,22
173,VIDYAWIRES,EQ,120
174,VIMTALABS,EQ,1
175,VIPULLTD,EQ,1604
176,VOLTAS,EQ,33
177,WAKEFIT,EQ,6
178,WALCHANNAG,EQ,10
179,WSTCSTPAPR,EQ,16
180,YESBANK,EQ,77449
