Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
18-Dec-25,OBEROIRLTY,1658.15,1609.9,  0.02953046,  0.01925422,  0.01931933,  0.36909532,1653.8,1609.6,  0.02708997,  0.01926410,  0.01931123,  0.36894062,  0.01931933,  0.36909532
18-Dec-25,OFSS,7662.5,7712.7, -0.00653002,  0.02042023,  0.02037445,  0.38925334,7684.5,7727.5, -0.00558008,  0.02038012,  0.02033295,  0.38846050,  0.02037445,  0.38925334
18-Dec-25,OIL,399.85,398.15,  0.00426066,  0.02150863,  0.02145688,  0.40993310,401.4,398.25,  0.00787849,  0.02162276,  0.02157574,  0.41220398,  0.02157574,  0.41220398
18-Dec-25,ONGC,232,232.9, -0.00387181,  0.01570085,  0.01566405,  0.29926119,232.2,233.14, -0.00404006,  0.01554893,  0.01551266,  0.29636904,  0.01566405,  0.29926119
18-Dec-25,PAGEIND,35694.95,36054.45, -0.01002107,  0.01456951,  0.01455028,  0.27798278,35840,36085, -0.00681268,  0.01363514,  0.01360965,  0.26001192,  0.01455028,  0.27798278
18-Dec-25,PATANJALI,550.4,543.65,  0.01233963,  0.01726474,  0.01724358,  0.32943810,552.15,544.6,  0.01376817,  0.01752801,  0.01751119,  0.33455075,  0.01751119,  0.33455075
18-Dec-25,PAYTM,1286.1,1268.6,  0.01370045,  0.02734274,  0.02729158,  0.52140491,1290.5,1272.7,  0.01388911,  0.02740907,  0.02735815,  0.52267667,  0.02735815,  0.52267667
18-Dec-25,PERSISTENT,6318.7,6282.5,  0.00574550,  0.02103812,  0.02098933,  0.40100062,6338,6289,  0.00776119,  0.02099167,  0.02094631,  0.40017870,  0.02098933,  0.40100062
18-Dec-25,PETRONET,268.8,268.65,  0.00055819,  0.01625652,  0.01621574,  0.30980127,269.6,269.45,  0.00055653,  0.01636389,  0.01632307,  0.31185183,  0.01632307,  0.31185183
18-Dec-25,PFC,335.05,335.65, -0.00178918,  0.02132174,  0.02126882,  0.40634033,336.1,336.75, -0.00193208,  0.02168993,  0.02163600,  0.41335516,  0.02163600,  0.41335516
18-Dec-25,PGEL,566.4,563.75,  0.00468965,  0.03459430,  0.03450936,  0.65930045,566.3,563.65,  0.00469048,  0.03469245,  0.03460726,  0.66117069,  0.03460726,  0.66117069
18-Dec-25,PHOENIXLTD,1798,1781.5,  0.00921923,  0.02157525,  0.02153108,  0.41135076,1802.6,1782.5,  0.01121319,  0.02156209,  0.02152264,  0.41118948,  0.02153108,  0.41135076
18-Dec-25,PIDILITIND,1451.6,1450.7,  0.00062020,  0.01118620,  0.01115824,  0.21317784,1455,1452.6,  0.00165085,  0.01104995,  0.01102285,  0.21059117,  0.01115824,  0.21317784
18-Dec-25,PIIND,3213.8,3206.1,  0.00239879,  0.01532777,  0.01529033,  0.29212127,3225.3,3216.6,  0.00270107,  0.01540131,  0.01536393,  0.29352755,  0.01536393,  0.29352755
18-Dec-25,PNB,118.9,119.35, -0.00377755,  0.01873895,  0.01869400,  0.35714835,119.06,119.75, -0.00577867,  0.01878856,  0.01874598,  0.35814152,  0.01874598,  0.35814152
18-Dec-25,PNBHOUSING,896.15,894.85,  0.00145170,  0.02425060,  0.02419008,  0.46215088,898.8,897.8,  0.00111321,  0.02421906,  0.02415851,  0.46154760,  0.02419008,  0.46215088
18-Dec-25,POLICYBZR,1834.4,1765,  0.03856676,  0.02454748,  0.02463745,  0.47069787,1839.4,1770.4,  0.03823392,  0.02448395,  0.02457177,  0.46944300,  0.02463745,  0.47069787
18-Dec-25,POLYCAB,7099,7079.5,  0.00275065,  0.02030157,  0.02025159,  0.38690617,7122,7103,  0.00267135,  0.02020177,  0.02015205,  0.38500438,  0.02025159,  0.38690617
18-Dec-25,POWERGRID,257.95,261.1, -0.01213771,  0.01453342,  0.01452241,  0.27745034,258.75,261.9, -0.01210041,  0.01428959,  0.01427940,  0.27280748,  0.01452241,  0.27745034
18-Dec-25,POWERINDIA,18160.35,19150.1, -0.05306729,  0.03047334,  0.03062773,  0.58514188,18210,19215, -0.05372033,  0.03029980,  0.03046176,  0.58197115,  0.03062773,  0.58514188
18-Dec-25,PPLPHARMA,166.5,167.95, -0.00867101,  0.02262219,  0.02257382,  0.43127213,167.19,168.2, -0.00602286,  0.02288809,  0.02283467,  0.43625572,  0.02283467,  0.43625572
18-Dec-25,PRESTIGE,1600.15,1607.4, -0.00452059,  0.02325082,  0.02319481,  0.44313621,1605.1,1613.2, -0.00503372,  0.02344731,  0.02339140,  0.44689215,  0.02339140,  0.44689215
18-Dec-25,RBLBANK,298.75,296.95,  0.00604333,  0.02342040,  0.02336579,  0.44640274,299.05,298,  0.00351730,  0.02330913,  0.02325221,  0.44423284,  0.02336579,  0.44640274
18-Dec-25,RECLTD,337,333.95,  0.00909165,  0.02188442,  0.02183915,  0.41723645,337.8,334.5,  0.00981712,  0.02202603,  0.02198195,  0.41996457,  0.02198195,  0.41996457
18-Dec-25,RELIANCE,1544.4,1544.4,  0.00000000,  0.01221554,  0.01218499,  0.23279384,1548.1,1548.8, -0.00045206,  0.01188785,  0.01185810,  0.22654859,  0.01218499,  0.23279384
18-Dec-25,RVNL,305.95,307.25, -0.00424006,  0.02730256,  0.02723587,  0.52034061,304.6,305.4, -0.00262295,  0.02825127,  0.02818109,  0.53839894,  0.02818109,  0.53839894
18-Dec-25,SAIL,127.25,130.2, -0.02291807,  0.02221989,  0.02222336,  0.42457664,127.26,130.31, -0.02368399,  0.02269287,  0.02269801,  0.43364493,  0.02269801,  0.43364493
18-Dec-25,SAMMAANCAP,143.45,145.8, -0.01624928,  0.03009192,  0.03003852,  0.57388509,144.03,146.19, -0.01488553,  0.02999143,  0.02993494,  0.57190617,  0.03003852,  0.57388509
18-Dec-25,SBICARD,848.15,834.4,  0.01634460,  0.01533803,  0.01534338,  0.29313494,851.15,836.55,  0.01730208,  0.01525601,  0.01526706,  0.29167673,  0.01534338,  0.29313494
18-Dec-25,SBILIFE,2014.4,2010.2,  0.00208716,  0.01276123,  0.01273018,  0.24320978,2018.5,2016.3,  0.00109051,  0.01237280,  0.01234222,  0.23579786,  0.01273018,  0.24320978
18-Dec-25,SBIN,977.6,975.85,  0.00179170,  0.01299267,  0.01296079,  0.24761549,977.85,977.5,  0.00035799,  0.01296316,  0.01293060,  0.24703878,  0.01296079,  0.24761549
18-Dec-25,SENSEX,84481.81,84559.65, -0.00092096,  0.00732873,  0.00731066,  0.13966989,84621.6,84760.65, -0.00164185,  0.00706596,  0.00704938,  0.13467831,  0.00731066,  0.13966989
18-Dec-25,SENSEX50,26950.51,26959.29, -0.00032573,  0.00741089,  0.00739229,  0.14122948,26974.9,26987.75, -0.00047626,  0.00740498,  0.00738627,  0.14111449,  0.00739229,  0.14122948
