INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,BDL       ,27/01/2026,00001362.60,00001366.40,00001332.00,00001335.60,000000000567000,      327754455.00,           243600,              696,              643
FUTSTK    ,BDL       ,24/02/2026,00001361.00,00001369.20,00001334.70,00001338.60,000000000084350,       52829560.00,            39200,              112,              106
FUTSTK    ,BEL       ,30/12/2025,00000386.35,00000389.30,00000385.70,00000386.85,000000105256200,     3689099778.75,          9533250,             6690,             5241
FUTSTK    ,BEL       ,27/01/2026,00000388.60,00000391.75,00000388.05,00000389.15,000000017784000,     1780176048.75,          4572825,             3209,             1977
FUTSTK    ,BEL       ,24/02/2026,00000392.25,00000393.30,00000390.00,00000391.10,000000001708575,       61920168.75,           158175,              111,              097
FUTSTK    ,BHARATFORG,30/12/2025,00001419.70,00001423.10,00001404.60,00001417.30,000000007221500,     1584507250.00,          1119500,             2239,             1813
FUTSTK    ,BHARATFORG,27/01/2026,00001447.20,00001447.20,00001410.00,00001422.50,000000000625000,      350962150.00,           247000,              494,              288
FUTSTK    ,BHARATFORG,24/02/2026,00001424.60,00001430.60,00001416.00,00001422.80,000000000066500,        9256900.00,             6500,              013,              013
FUTSTK    ,BHARTIARTL,30/12/2025,00002107.60,00002128.90,00002098.50,00002109.10,000000043130950,     7281558812.50,          3455150,             7274,             6535
FUTSTK    ,BHARTIARTL,27/01/2026,00002130.00,00002136.90,00002112.00,00002122.50,000000004583750,     1217115585.00,           574275,             1209,              799
FUTSTK    ,BHARTIARTL,24/02/2026,00002130.60,00002135.00,00002125.00,00002135.00,000000000294975,       11140697.50,             5225,              011,              009
FUTSTK    ,BHEL      ,30/12/2025,00000279.35,00000281.20,00000276.35,00000278.75,000000059619000,     1940648325.00,          6974625,             2657,             2123
