INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00056300.00,PE      ,00000022.85,00000023.40,00000018.45,00000020.25,000000000018270,            43155,             1233,              748,     2430511156.50,         884656.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056500.00,CE      ,00002783.40,00002795.90,00002590.00,00002644.05,000000000030695,             1890,              054,              040,      111863134.25,        5078134.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00056500.00,PE      ,00000022.00,00000026.50,00000021.35,00000023.50,000000000313915,           586005,            16743,             8560,    33123270748.75,       13988248.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00056700.00,PE      ,00000028.75,00000032.10,00000024.90,00000026.85,000000000033600,            95235,             2721,             1450,     5402457807.25,        2633307.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00056900.00,CE      ,00002329.20,00002329.20,00002299.05,00002310.45,000000000000420,              105,              003,              003,        6217095.50,         242595.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056900.00,PE      ,00000034.05,00000037.75,00000029.05,00000031.75,000000000058310,           137970,             3942,             2419,     7855010045.75,        4517045.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00057100.00,PE      ,00000040.90,00000046.35,00000035.20,00000038.65,000000000108955,           209125,             5975,             3287,    11949578207.00,        8540707.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00057300.00,PE      ,00000048.00,00000057.65,00000042.90,00000048.30,000000000086870,           190995,             5457,             2985,    10953650428.00,        9636928.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00057500.00,CE      ,00001800.05,00001885.00,00001595.00,00001702.70,000000000057610,            16170,              462,              270,      957512316.25,       27737316.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00057500.00,PE      ,00000066.00,00000073.40,00000053.40,00000060.75,000000000670985,          1317785,            37651,            21707,    75856439501.50,       83802001.50
