MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,TAC,TAC INFOSEC LIMITED,       804.50,       806.95,       813.60,       786.00,       797.90,                 21789720.00,27400, ,      1697.00,       676.00
G,ST,TANKUP,TANKUP ENGINEERS LIMITED,       751.70,       736.70,       736.70,       736.70,       736.70,                   736700.00,1000, ,       817.60,       152.55
N,ST,TAURIAN,TAURIAN MPS LIMITED,       208.25,       202.25,       210.00,       202.25,       205.50,                  4954080.00,24000, ,       425.00,       193.90
N,SM,TBI,TBI CORN LIMITED,        85.45,        84.00,        85.95,        83.00,        84.25,                  3494130.00,41400, ,       222.00,        75.20
G,ST,TECHD,TECHD CYBERSECURITY LTD,       658.10,       646.00,       646.00,       644.95,       644.95,                  1549140.00,2400, ,       843.60,       366.70
N,ST,TECHERA,TECHERA ENGINEER (IND) L,       217.50,       213.00,       219.95,       213.00,       214.95,                  3968600.00,18400, ,       325.70,       115.60
N,ST,TGL,TEERTH GOPICON LIMITED,        72.20,        68.60,        68.60,        68.60,        68.60,                   425320.00,6200, ,       660.00,        38.50
N,SM,TEJASCARGO,TEJAS CARGO INDIA LIMITED,       254.00,       251.00,       251.00,       251.00,       251.00,                  3112400.00,12400, ,       363.60,       141.05
N,SM,TCL,THAAI CASTING LIMITED,        99.00,       105.00,       105.00,        98.00,       101.65,                  1348640.00,13600, ,       153.30,        77.15
N,SM,TRANSTEEL,TRANSTEEL SEATING TECH L,       140.35,       140.00,       140.00,       138.30,       138.95,                  1667800.00,12000, ,       167.95,        79.75
N,SM,TECHLABS,TRIDENT TECHLABS LIMITED,       302.95,       304.00,       310.00,       297.00,       306.25,                  2133418.75,7000, ,      1670.00,       295.00
N,SM,TRIDHYA,TRIDHYA TECH LIMITED,        15.00,        15.05,        15.05,        15.00,        15.00,                    90150.00,6000, ,        41.00,        14.00
N,SM,TROM,TROM INDUSTRIES LIMITED,        78.25,        78.05,        78.05,        77.00,        77.40,                   512010.00,6600, ,       280.00,        67.90
N,ST,TRUST,TRUST FINTECH LIMITED,        49.85,        49.85,        50.35,        48.05,        48.10,                   117810.00,2400, ,       185.00,        42.70
N,SM,TSC,TSC INDIA LIMITED,        50.00,        49.05,        49.05,        46.55,        46.75,                   574200.00,12000, ,        79.30,        46.55
N,SM,TUNWAL,TUNWAL E-MOTORS LIMITED,        36.60,        36.80,        39.80,        36.65,        37.60,                  4072800.00,108000, ,        52.40,        27.25
N,SM,UMA,UMA CONVERTER LIMITED,        20.45,        20.00,        20.00,        20.00,        20.00,                    80000.00,4000, ,        45.05,        19.00
N,ST,UNIHEALTH,UNIHEALTH HOSPITALS LTD,       331.35,       320.00,       335.80,       315.00,       326.30,                 12121200.00,37000, ,       390.60,       120.00
N,SM,UHTL,UNITED HEAT TRANSFER LTD,        62.95,        62.95,        62.95,        57.70,        57.95,                  4892400.00,84000, ,       111.05,        51.50
N,SM,USASEEDS,UPSURGE SEEDS OF AGRI LTD,       166.80,       159.00,       159.00,       159.00,       159.00,                    68052.00,428, ,       314.40,       130.70
N,SM,URBAN,URBAN ENVIRO WASTE MGMT L,       145.00,       144.00,       146.00,       144.00,       145.25,                   348200.00,2400, ,       695.15,       136.05
N,SM,USHAFIN,USHA FINANCIAL SERVICES L,        36.25,        36.00,        36.05,        36.00,        36.00,                  2764880.00,76800, ,       132.90,        34.10
N,SM,UTSSAV,UTSSAV CZ GOLD JEWELS LTD,       219.70,       220.00,       220.00,       217.00,       217.85,                  3275400.00,15000, ,       315.25,       145.05
N,SM,VMARCIND,V MARC INDIA LIMITED,       665.60,       665.60,       685.80,       655.00,       657.05,                  8015650.00,12000, ,       805.00,       200.30
N,SM,VR,V R INFRASPACE LIMITED,       180.00,       172.00,       172.00,       172.00,       172.00,                    68800.00,400, ,       337.05,       157.00
N,SM,VLINFRA,V.L.INFRAPROJECTS LIMITED,        25.50,        25.65,        29.25,        25.65,        27.40,                  1183350.00,43500, ,        63.45,        22.15
N,SM,VSCL,VADIVARHE SPCLTY CHEM LTD,        16.70,        17.50,        17.50,        17.50,        17.50,                   105000.00,6000, ,        46.90,        16.70
N,SM,MADHAVBAUG,VAIDYA SANE AYUR LAB LTD,       275.00,       270.00,       285.00,       270.00,       285.00,                  1237360.00,4400, ,       313.00,        81.10
N,SM,DENTALKART,VASA DENTICITY LIMITED,       577.05,       577.95,       577.95,       570.00,       571.70,                  3150362.50,5500, ,       812.50,       533.00
N,SM,VDEAL,VDEAL SYSTEM LIMITED,       222.00,       221.40,       223.40,       215.00,       215.00,                  1181070.00,5400, ,       260.00,       100.25
N,SM,VEEKAYEM,VEEKAYEM FASH & APP LTD,       221.00,       211.00,       212.00,       196.05,       202.50,                  3889175.00,19000, ,       318.00,       190.00
N,SM,VERTEXPLUS,VERTEXPLUS TECHNOLOGIES L,       117.00,       120.00,       120.00,       120.00,       120.00,                    72000.00,600, ,       149.80,        73.40
N,SM,VIAZ,VIAZ TYRES LIMITED,        71.40,        73.50,        73.50,        68.85,        68.85,                   431100.00,6000, ,        99.55,        49.30
N,SM,VIGOR,VIGOR PLAST INDIA LIMITED,        80.00,        81.00,        81.25,        74.95,        79.00,                  5162400.00,67200, ,        98.00,        74.95
N,SM,VIJAYPD,VIJAYPD CEUTICAL LIMITED,        45.00,        47.90,        47.90,        44.40,        44.40,                  1260400.00,28000, ,        55.50,        35.00
N,SM,VILAS,VILAS TRANSCORE LIMITED,       395.75,       390.15,       399.25,       390.00,       392.70,                  5991250.00,15250, ,       673.70,       291.00
N,SM,VILINBIO,VILIN BIO MED LIMITED,        18.95,        19.85,        19.85,        19.85,        19.85,                   158800.00,8000, ,        32.50,        16.25
N,SM,VINSYS,VINSYS IT SERVICES IND LT,       401.00,       401.00,       401.00,       386.10,       391.05,                  1675612.50,4250, ,       475.00,       300.00
N,SM,VINYAS,VINYAS INNOVATIVE TECH L,      1171.00,      1175.00,      1175.00,      1175.00,      1175.00,                  2467500.00,2100, ,      1440.00,       575.80
N,SM,VGINFOTECH,VIRTUAL GALAXY INFOTECH L,       158.60,       157.25,       157.25,       153.75,       154.95,                  2486700.00,16000, ,       208.00,       146.00
N,SM,VISHNUINFR,VISHNUSURYA PROJ N INFR L,       176.85,       176.00,       177.00,       172.25,       172.60,                  1221175.00,7000, ,       305.00,       145.00
N,SM,VISHWAS,VISHWAS AGRI SEEDS LTD,        42.00,        40.00,        41.00,        36.10,        40.85,                  3102880.00,81600, ,        91.90,        36.10
N,ST,VIESL,VISION INFRA EQUIP SOL L,       258.00,       258.00,       258.00,       245.10,       250.00,                 14754280.00,59200, ,       307.90,       111.95
N,SM,VITAL,VITAL CHEMTECH LIMITED,        56.00,        55.00,        56.55,        53.85,        55.30,                   328260.00,6000, ,        77.60,        48.10
N,SM,VIVIANA,VIVIANA POWER TECH LTD,       773.25,       775.00,       775.00,       715.00,       733.10,                  8634830.00,11600, ,      1860.00,       598.00
N,ST,VOLERCAR,VOLER CAR LIMITED,       200.00,       192.00,       200.00,       190.00,       200.00,                 28069560.00,140800, ,       255.00,        77.40
N,SM,WALPAR,WALPAR NUTRITIONS LIMITED,        44.25,        46.40,        46.40,        46.40,        46.40,                    92800.00,2000, ,        53.30,        37.70
N,SM,WINSOL,WINSOL ENGINEERS LIMITED,       164.60,       162.00,       162.00,       156.00,       160.70,                  1334380.00,8400, ,       320.00,       151.05
N,SM,WTICAB,WISE TRAVEL INDIA LIMITED,       131.70,       130.15,       135.00,       130.15,       134.00,                  1071800.00,8000, ,       204.00,       115.20
N,ST,WOL3D,WOL 3D INDIA LIMITED,       170.00,       166.05,       167.10,       166.05,       167.10,                   666200.00,4000, ,       209.95,        97.00
N,SM,WOMANCART,WOMANCART LIMITED,       304.25,       305.50,       305.50,       292.00,       296.30,                  2748840.00,9200, ,       437.15,       211.15
N,SM,YASHOPTICS,YASH OPTICS & LENS LTD,       137.25,       137.60,       137.60,       129.05,       132.00,                  1485920.00,11200, ,       153.50,        72.60
N,SM,YCCL,YASONS CHEMEX CARE LTD,        11.30,        11.50,        12.00,        11.50,        12.00,                   210450.00,18000, ,        21.40,        11.00
N,SM,ZTECH,Z-TECH (INDIA) LIMITED,       602.40,       605.00,       605.00,       587.00,       592.00,                 33305835.00,55800, ,       731.15,       460.00
N,SM,ZEAL,ZEAL GLOBAL SERVICES LTD,        97.85,        98.10,       100.00,        98.10,        99.95,                   238230.00,2400, ,       192.00,        92.35
N,SM,ZENITHDRUG,ZENITH DRUGS LIMITED,        51.50,        51.50,        51.50,        49.60,        49.85,                   803200.00,16000, ,       107.00,        47.15
