SECURITY,NEW,PREVIOUS,NEW_STATUS
EMMVEE PHOTOVOLTAIC PWR L     ,176.24,184.45,L
ENCOMPASS DESIGN INDIA L      ,167.35,174.35,L
ESCONET TECHNOLOGIES LTD      ,135.85,138.05,L
FUJIYAMA POWER SYSTEMS L      ,195.05,195.64,L
GLOBE CIVIL PROJECTS LTD      ,57.54,59.50,L
HIGHWAY INFRASTRUCTURE L      ,57.80,59.35,L
INVICTA DIAGNOSTIC LTD        ,82.55,83.05,L
JHS SVENDGAARD RETAIL V L     ,25.01,25.16,L
JINKUSHAL INDUSTRIES LTD      ,99.96,106.01,L
KONSTELEC ENGINEERS LTD       ,42.70,44.90,L
MONEYBOXX FINANCE LIMITED     ,60.05,66.00,L
MOTILALAMC - MOSERVICE        ,33.45,33.47,L
NAVKAR URBANSTRUCTURE LTD     ,1.41,1.47,L
NEOCHEM BIO SOLUTIONS LTD     ,90.20,94.00,L
NEPHROCARE HEALTH SERV L      ,463.80,460.00,L
NOVA AGRITECH LIMITED         ,38.50,39.19,L
OLA ELECTRIC MOBILITY LTD     ,32.67,33.20,L
OPTIVALUE TEK CONSULT LTD     ,70.50,71.00,L
PACE DIGITEK LIMITED          ,192.86,194.50,L
PAKKA LIMITED                 ,101.00,101.22,L
PARAGON FINE S.C. LTD.        ,42.35,42.40,L
PARK MEDI WORLD LIMITED       ,146.93,162.00,L
PAVNA INDUSTRIES LIMITED      ,26.09,26.20,L
PINE LABS LIMITED             ,219.50,225.00,L
QUADPRO ITES LIMITED          ,2.45,2.50,L
QUALITY FOILS (INDIA) LTD     ,58.35,60.55,L
RACE ECO CHAIN LIMITED        ,140.00,141.06,L
RAJSHREE POLYPACK LTD         ,16.32,16.50,L
REVATHI EQUIPMENT INDIA L     ,701.00,702.05,L
S D RETAIL LIMITED            ,85.25,86.35,L
SAPPHIRE FOODS INDIA LTD      ,225.10,226.79,L
SARASWATI SAREE DEPOT LTD     ,76.10,77.05,L
SATTVA ENGINEERING CSTN L     ,62.00,63.00,L
SESHAASAI TECHNOLOGIES L      ,277.20,284.00,L
SHANKARA BLDG PRODUCT LTD     ,108.26,109.32,L
SHANTI GOLD INTERNATION L     ,187.81,190.22,L
SHEEL BIOTECH LIMITED         ,73.00,73.20,L
SHEELA FOAM LIMITED           ,560.15,565.00,L
SHRI KANHA STAINLESS LTD      ,68.20,71.75,L
SKF IND (INDUSTRIAL) LTD      ,2423.00,2450.50,L
SMARTEN POWER SYSTEMS LTD     ,64.00,65.10,L
SUKHJIT STARCH & CHEM LTD     ,144.10,144.12,L
SULA VINEYARDS LIMITED        ,210.80,212.25,L
SURAJ ESTATE DEVELOPERS L     ,246.50,255.80,L
SURAJ LIMITED                 ,252.00,252.50,L
TENNECO CLEAN AIR INDIA L     ,440.50,447.45,L
TRACXN TECHNOLOGIES LTD       ,39.40,39.88,L
TSC INDIA LIMITED             ,46.55,48.10,L
VIGOR PLAST INDIA LIMITED     ,74.95,76.05,L
VIKRAN ENGINEERING LTD        ,85.40,90.30,L
VISHWAS AGRI SEEDS LTD        ,36.10,41.60,L
WEWORK INDIA MANAGEMENT L     ,570.10,577.70,L
YASHO INDUSTRIES LIMITED      ,1415.50,1479.90,L
