as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-17,SBILIFE,BEARISH,OPTION,BUY,PE,30-DEC-2025,2000.0,15.28,8.76,8.76,,,,,0.62,2010.2,15.75,0.14943968232069169,13,-0.6829320375656431,-0.38863579989165886,15.75,2025-12-27
2025-12-17,ONGC,BEARISH,OPTION,BUY,PE,30-DEC-2025,230.0,1.6,0.92,0.92,,,,,0.6,232.9,1.65,0.17697488493025304,13,-0.09242143395245318,-0.32042863221047213,1.65,2025-12-25
2025-12-17,BHARTIARTL,BEARISH,OPTION,BUY,PE,30-DEC-2025,2100.0,19.16,10.98,10.98,,,,,0.58,2108.0,19.75,0.16325056597646329,13,-0.8019843021580612,-0.41303640952035414,19.75,2025-12-28
2025-12-17,BAJAJFINSV,BEARISH,OPTION,BUY,PE,30-DEC-2025,2040.0,33.37,19.13,19.13,,,,,0.53,2021.2,34.4,0.1767480099754408,13,-0.7876914558963712,-0.5738321313380417,15.6,2025-12-25
2025-12-17,SBIN,BULLISH,OPTION,BUY,CE,30-DEC-2025,975.0,11.93,6.84,6.84,,,,,0.51,975.85,12.3,0.1442538559809327,13,-0.5052445968391196,0.554563658473381,11.45,2025-12-27
2025-12-17,ADANIPORTS,BEARISH,OPTION,BUY,PE,30-DEC-2025,1500.0,25.12,14.4,14.4,,,,,0.5,1486.3,25.9,0.18289399205967782,13,-0.6075874561203201,-0.5699848498184883,12.2,2025-12-26
2025-12-17,ASIANPAINT,BEARISH,OPTION,BUY,PE,30-DEC-2025,2800.0,42.1,24.13,24.13,,,,,0.5,2785.7,43.4,0.18870697710420933,13,-1.2324965192398394,-0.5223131299144135,29.1,2025-12-27
2025-12-17,COALINDIA,BULLISH,OPTION,BUY,CE,30-DEC-2025,387.5,2.72,1.56,1.56,,,,,0.49,384.75,2.8,0.12477649070471525,13,-0.167612872568511,0.4266936895352368,2.8,2025-12-24
2025-12-17,AXISBANK,BULLISH,OPTION,BUY,CE,30-DEC-2025,1230.0,14.45,8.29,8.29,,,,,0.45,1224.7,14.9,0.17330359163619574,13,-0.7250153604422238,0.48426604565090803,14.9,2025-12-26
2025-12-17,INDUSINDBK,BEARISH,OPTION,BUY,PE,30-DEC-2025,820.0,9.65,5.53,5.53,,,,,0.45,833.85,9.95,0.268719797489047,13,-0.5410881389554263,-0.342816681666839,9.95,2025-12-25
2025-12-17,BAJFINANCE,BULLISH,OPTION,BUY,CE,30-DEC-2025,1000.0,16.3,9.34,9.34,,,,,0.42,999.6,16.8,0.20928086896203457,13,-0.7023717863066687,0.5289944343555569,16.8,2025-12-27
2025-12-17,SUNPHARMA,BULLISH,OPTION,BUY,CE,30-DEC-2025,1800.0,18.38,10.54,10.54,,,,,0.4,1793.05,18.95,0.14923709577284755,13,-0.93794165141696,0.4861381593955247,18.95,2025-12-26
2025-12-17,DRREDDY,BULLISH,OPTION,BUY,CE,30-DEC-2025,1280.0,10.23,5.87,5.87,,,,,0.39,1272.0,10.55,0.13354026574380695,13,-0.5939058872995774,0.4454182556832199,10.55,2025-12-24
2025-12-17,EICHERMOT,BULLISH,OPTION,BUY,CE,30-DEC-2025,7200.0,77.75,44.57,44.57,,,,,0.38,7124.45,80.15,0.19773975230394863,13,-4.561947961849427,0.42183654841466467,80.15,2025-12-24
2025-12-17,HCLTECH,BULLISH,OPTION,BUY,CE,30-DEC-2025,1660.0,22.75,13.04,13.04,,,,,0.38,1655.0,23.45,0.19161293412670494,13,-1.072952403018018,0.5014385347850876,23.45,2025-12-26
2025-12-17,HINDUNILVR,BEARISH,OPTION,BUY,PE,30-DEC-2025,2300.0,37.98,21.77,21.77,,,,,0.36,2275.6,39.15,0.16775188391432166,13,-0.8059419857750527,-0.5957284343155126,14.75,2025-12-25
2025-12-17,ITC,BULLISH,OPTION,BUY,CE,30-DEC-2025,400.0,4.12,2.36,2.36,,,,,0.36,399.8,4.25,0.12766383096128706,13,-0.18755358053624893,0.5377505758236609,4.25,2025-12-27
2025-12-17,MARUTI,BULLISH,OPTION,BUY,CE,30-DEC-2025,16400.0,180.23,103.32,103.32,,,,,0.36,16397.95,185.8,0.13436403086094656,13,-8.014011775097368,0.5422360552729181,185.8,2025-12-27
2025-12-17,POWERGRID,BULLISH,OPTION,BUY,CE,30-DEC-2025,265.0,1.89,1.08,1.08,,,,,0.36,261.1,1.95,0.1679397465467453,13,-0.13580645626557922,0.35446816696820427,1.95,2025-12-23
2025-12-17,ULTRACEMCO,BULLISH,OPTION,BUY,CE,30-DEC-2025,11500.0,166.21,95.28,95.28,,,,,0.36,11539.95,171.35,0.15501673547951503,13,-6.323112317281054,0.5864363624334042,131.4,2025-12-26
2025-12-17,CIPLA,BULLISH,OPTION,BUY,CE,30-DEC-2025,1500.0,15.67,8.98,8.98,,,,,0.35,1496.9,16.15,0.1404978699058294,13,-0.7525412671400181,0.5116719672152459,16.15,2025-12-26
2025-12-17,TATASTEEL,BULLISH,OPTION,BUY,CE,30-DEC-2025,170.0,2.88,1.65,1.65,,,,,0.35,170.35,2.97,0.20044344640672207,13,-0.11549758202772491,0.5553502488671148,2.62,2025-12-27
2025-12-17,TECHM,BULLISH,OPTION,BUY,CE,30-DEC-2025,1580.0,22.75,13.04,13.04,,,,,0.35,1579.35,23.45,0.18326828311644489,13,-0.9919495935428193,0.5308791990706996,23.45,2025-12-27
