target_date,as_of,mode,ticker,ret_oc,exp_oh,dd_ol,buy_win,sell_win,opt_style,atr_points,atr_pct,buy_thr,sell_thr,buy_soft,sell_soft,direction_score,strength,volatility_annualized,delivery_per,delivery_spike,has_bulk_deal,fii_sentiment
2025-12-18,2025-12-18,aggressive,EICHERMOT.NS,-0.003994393833216538,0.0012613875262789068,-0.017028731604765243,0,1,both,124.5,0.017449194113524878,0.007852137351086195,0.007852137351086195,0.071396697902722,0.963855421686747,-0.892458723784025,0.963855421686747,0.2713,57.67,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,GRASIM.NS,-0.0008540577735765125,0.0035587188612099642,-0.008220675322508897,0,1,both,40.55714634486607,0.014433148165432765,0.006494916674444744,0.006494916674444744,0.24352165031272635,0.5625373903635142,-0.3190157400507879,0.5625373903635142,0.2541,56.38,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,HCLTECH.NS,0.0026554160615947496,0.010199169833471635,-0.0035003312179390463,1,0,both,26.214285714285715,0.0158203293387361,0.007119148202431245,0.007119148202431245,0.6367284739041947,0.21852372212130383,0.4182047517828909,0.6367284739041947,0.2789,58.31,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,HDFCBANK.NS,0.006575592822696976,0.01448683530045721,0.0,1,0,both,12.914289202008929,0.013268559913673744,0.005970851961153185,0.005970851961153185,1.0,0.0,1.0,1.0,0.2006,64.11,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,HDFCLIFE.NS,0.0025826266320872183,0.004304350774840533,-0.007880289124198643,0,0,both,14.260716029575892,0.018887115105134092,0.008499201797310342,0.008499201797310342,0.22508522970044278,0.4120799582584823,-0.18699472855803953,0.4120799582584823,0.2522,48.3,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,HEROMOTOCO.NS,-0.006309420916162489,0.0,-0.047018150388936905,0,1,both,141.28571428571428,0.02442276824299296,0.010990245709346832,0.010990245709346832,0.0,1.0,-1.0,1.0,0.3038,50.64,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,HINDALCO.NS,0.007882367302389707,0.014058837890625,-0.0029411764705882353,1,0,both,16.36785888671875,0.019256304572610294,0.008665337057674633,0.008665337057674633,0.7210766706759935,0.1508527058766769,0.5702239647993166,0.7210766706759935,0.3248,59.6,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,HINDUNILVR.NS,-0.001982378854625551,0.0036564091753854625,-0.006475749414922907,0,0,both,48.42138671875,0.021331007365088105,0.009598953314289647,0.009598953314289647,0.16929666093870585,0.29983590469101445,-0.1305392437523086,0.29983590469101445,0.2216,60.98,1,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,ICICIBANK.NS,0.007799152951928979,0.01723237787302258,-0.00059425744567223,1,0,both,16.792837960379465,0.012473324928567479,0.005612996217855366,0.005612996217855366,1.0,0.0470540884133506,0.9529459115866494,1.0,0.2044,48.42,0,0,0.1500089274723648
2025-12-18,2025-12-18,aggressive,INDUSINDBK.NS,0.004935046559143016,0.01408282664773803,-0.005777549185719154,1,0,both,19.721422467912948,0.023737870435341688,0.01068204169590376,0.01068204169590376,0.5859398646666486,0.2403847233700722,0.3455551412965764,0.5859398646666486,0.4413,37.34,0,0,0.1500089274723648
